Libellé Gare	Voyageurs	Commune	Département	coordonnees_geographiques
Pontanevaux	O	La Chapelle-de-Guinchay	Saône-et-Loire	"46.2130726567,4.77271094072"
Le Mée	O	Le Mée-sur-Seine	Seine-et-Marne	"48.5410655401,2.62236233145"
Melun	O	Melun	Seine-et-Marne	"48.5278479516,2.65335157171"
Villeneuve-St-Georges	O	Villeneuve-St-Georges	Val-de-Marne	"48.731435751,2.44637894125"
Pompadour-Maisons-Alfort	N	Maisons-Alfort	Val-de-Marne	"48.7893765699,2.43187086815"
Orange	O	Orange	Vaucluse	"44.1374545887,4.81964107431"
Courthézon	O	Courthézon	Vaucluse	"44.0899102485,4.88830527092"
Sens	O	Sens	Yonne	"48.1987581125,3.26737572178"
Villeneuve-sur-Yonne	O	Villeneuve-sur-Yonne	Yonne	"48.0860909077,3.286346893"
St-Julien-du-Sault	O	St-Julien-du-Sault	Yonne	"48.0278485511,3.3036705708"
Joigny	O	Joigny	Yonne	"47.9734041505,3.39131139689"
St-Florentin-Vergigny	O	Vergigny	Yonne	"47.9804106914,3.73096097535"
Flogny	N	Flogny-la-Chapelle	Yonne	"47.9381503793,3.86551031961"
Tanlay	N	Tanlay	Yonne	"47.8491265178,4.07031413"
Troyes	O	Troyes	Aube	"48.2958800327,4.06483520717"
Bouilly-Roncenay	N	Roncenay	Aube	"48.1953456735,4.05828326095"
Recey-sur-Ource	N	Recey-sur-Ource	Côte-d'Or	"47.7790390004,4.85704517369"
Is-sur-Tille	O	Marcilly-sur-Tille	Côte-d'Or	"47.5202344872,5.12977787089"
Lux	N	Lux	Côte-d'Or	"47.4878733849,5.20372753944"
Villars-Santenoge	N	Villars-Santenoge	Haute-Marne	"47.7503337065,4.98120262429"
Maâtz	N	Maâtz	Haute-Marne	"47.7025127644,5.4415634579"
Gray	N	Gray	Haute-Saône	"47.4517955548,5.57812936558"
Noidans-le-Ferroux	N	Noidans-le-Ferroux	Haute-Saône	"47.5679995065,5.96396075553"
Fresne-St-Mamès	N	Fresne-St-Mamès	Haute-Saône	"47.5560641217,5.85259251356"
Gray	N	Gray	Haute-Saône	"47.4517955548,5.57812936558"
St-Julien-Clénay	O	St-Julien	Côte-d'Or	"47.4057323487,5.12814128982"
Auxonne	O	Tillenay	Côte-d'Or	"47.1925661055,5.37722505583"
Arc-et-Senans	O	Arc-et-Senans	Doubs	"47.0302718235,5.77675649671"
Les Longevilles-Rochejean	O	Longevilles-Mont-d'Or	Doubs	"46.7525483509,6.30472053461"
