n,beta_0.0,beta_0.2,beta_0.4,beta_0.6,beta_0.8
3161,0.7582153993763106,0.8047374942431268,0.850842823703298,0.8968810781275846,0.9432281554989386
3162,0.7584552650515324,0.8049340085560931,0.8509967688141058,0.8969926146284467,0.9432953683211943
3163,0.7586951307267542,0.8051305084694647,0.8511507111535508,0.8971041473248994,0.9433625550907653
3164,0.758934996401976,0.8053270022794101,0.851304626171527,0.8972156593562578,0.9434297347988301
3165,0.7591748620771979,0.8055234917408824,0.8514585333099463,0.8973271573424669,0.9434969064099433
3166,0.7594147277524197,0.8057199768766614,0.8516124123610717,0.8974386540370266,0.9435640767279707
3167,0.7596545934276415,0.8059164599308452,0.8517662900110594,0.8975500962270587,0.9436312415868776
3168,0.7598944591028634,0.8061129407283942,0.8519201070146257,0.8976615197130964,0.9436984007421091
3169,0.7601343247780852,0.8063094142751212,0.8520739079095174,0.897772934358003,0.9437655547830756
3170,0.760374190453307,0.8065058818110535,0.8522277068885893,0.8978843478791095,0.9438326969930928
3171,0.7606140561285288,0.8067023383242466,0.8523814965054797,0.897995660788494,0.9438998388624578
3172,0.7608539218037507,0.8068987940536352,0.8525352759387385,0.8981069520911303,0.943966933635291
3173,0.7610937874789725,0.8070952484115792,0.8526890303561595,0.898218236369197,0.944034008057452
3174,0.7613336531541943,0.807291699826634,0.8528427336454415,0.8983294704858122,0.944101051803472
3175,0.7615735188294162,0.8074881258911561,0.8529964231317955,0.8984406889197482,0.9441680615480622
3176,0.761813384504638,0.8076845518564909,0.8531500981775385,0.8985518817032497,0.9442350378018757
3177,0.7620532501798598,0.8078809648003635,0.8533037531866534,0.8986630688713434,0.9443020050700964
3178,0.7622931158550816,0.8080773746393684,0.8534573837743996,0.8987742227476839,0.9443689244583942
3179,0.7625329815303035,0.8082737704240671,0.8536110121869053,0.8988853465642274,0.9444358323277331
3180,0.7627728472055253,0.8084701552015884,0.8537646288816955,0.898996466050217,0.9445026926378529
3181,0.7630127128807471,0.8086665284741481,0.853918172262495,0.8991075749708877,0.9445695519355901
3182,0.763252578555969,0.8088628946341906,0.8540717131876012,0.899218676766998,0.9446363843669285
3183,0.7634924442311908,0.8090592547474829,0.8542252482024941,0.899329731844202,0.9447032041414597
3184,0.7637323099064126,0.8092556123779757,0.8543787742716173,0.8994407668242442,0.9447700155882246
3185,0.7639721755816344,0.8094519699063147,0.8545322940426344,0.8995517704030667,0.9448368146412135
3186,0.7642120412568563,0.8096483199183048,0.8546858050673214,0.8996627739818891,0.9449036013963701
3187,0.7644519069320781,0.8098446660690247,0.8548393010781816,0.8997737696543242,0.94497037203633
3188,0.7646917726072999,0.8100410094394913,0.8549927369426354,0.8998847537742327,0.9450371028546257
3189,0.7649316382825218,0.8102373483096291,0.8551461671638764,0.8999957274936419,0.9451038319215086
3190,0.7651715039577436,0.8104336869813222,0.8552995782984654,0.9001066914472127,0.9451705518343483
3191,0.7654113696329654,0.8106300117949161,0.8554529706945848,0.900217647415516,0.9452372416330396
3192,0.7656512353081872,0.8108263338328232,0.8556063580470676,0.9003285960557627,0.9453039258058493
3193,0.7658911009834091,0.8110226519474477,0.8557596868971464,0.9004395381841699,0.9453706036981039
3194,0.7661309666586309,0.81121895900363,0.8559130138575946,0.9005504781073314,0.9454372692616048
3195,0.7663708323338527,0.8114152614245422,0.8560663340797176,0.9006614114967556,0.9455038985873851
3196,0.7666106980090746,0.8116115381799505,0.8562196336195392,0.9007723417524985,0.9455705262926667
3197,0.7668505636842964,0.8118078101041455,0.8563729310529568,0.9008832497505403,0.9456371431753774
3198,0.7670904293595182,0.8120040779800273,0.8565262274734615,0.9009941167018495,0.9457037456121601
3199,0.76733029503474,0.8122003442424969,0.8566795234023198,0.9011049836531586,0.9457703002557271
3200,0.7675701607099619,0.8123966004132307,0.8568327762630429,0.9012158159391246,0.945836827471891
3201,0.7678100263851837,0.8125928556015168,0.856985988404043,0.9013265874128308,0.9459033470792818
3202,0.7680498920604055,0.8127891010033355,0.8571391989639731,0.9014372965381886,0.9459698077780828
3203,0.7682897577356274,0.8129853404447722,0.8572924086839852,0.9015479897370228,0.9460362567822258
3204,0.7685296234108492,0.8131815706729602,0.8574456030428548,0.9016586476932513,0.9461026904586967
3205,0.768769489086071,0.8133777947624036,0.8575987961382735,0.9017692945868717,0.9461691222474027
3206,0.7690093547612928,0.8135740179492711,0.8577519803893826,0.9018799356542567,0.9462354749637165
3207,0.7692492204365147,0.813770239767736,0.8579051477344766,0.9019905556476133,0.9463018216341247
3208,0.7694890861117365,0.8139664544338525,0.8580583101467343,0.9021011322846985,0.9463681650934951
3209,0.7697289517869583,0.8141626624638608,0.8582114603000365,0.9022117045759531,0.9464345063441145
3210,0.7699688174621802,0.8143588625638952,0.8583646055405361,0.9023222460003735,0.9465008228568502
3211,0.770208683137402,0.8145550588816524,0.8585177173849012,0.9024327442705697,0.9465671062822635
3212,0.7704485488126238,0.8147512446955323,0.8586707938467016,0.9025432149277319,0.946633354864451
3213,0.7706884144878456,0.8149474140287195,0.8588238697822239,0.9026536788670751,0.9466995875105256
3214,0.7709282801630675,0.815143582797565,0.8589769431061626,0.9027641398282549,0.9467657625465354
3215,0.7711681458382893,0.8153397453300693,0.8591300161744555,0.9028745898560556,0.9468319282229063
3216,0.7714080115135111,0.8155359021489174,0.8592830870778234,0.902985033523552,0.9468980610297496
3217,0.771647877188733,0.8157320589677655,0.8594361255454434,0.9030954674941124,0.9469641876850068
3218,0.7718877428639548,0.8159282076821048,0.8595891543139536,0.9032058988818794,0.9470303107802152
3219,0.7721276085391766,0.8161243521079979,0.8597421820048962,0.9033162032931144,0.9470964297990262
3220,0.7723674742143984,0.816320493021708,0.8598952010284174,0.9034265040259681,0.947162544647556
3221,0.7726073398896203,0.8165166272314813,0.860048214037062,0.9035367940364224,0.9472285987324385
3222,0.7728472055648421,0.8167127586171944,0.8602012244923737,0.9036470573359513,0.9472946513566326
3223,0.7730870712400639,0.8169088892761658,0.8603542322602965,0.9037572046646867,0.9473606884798071
3224,0.7733269369152858,0.8171050175758162,0.86050723493272,0.903867341350765,0.9474265961762924
3225,0.7735668025905076,0.8173011318745212,0.8606602302508771,0.9039773816095047,0.9474924236688286
3226,0.7738066682657294,0.8174972407083413,0.8608132224632752,0.90408734744665,0.9475582499484343
3227,0.7740465339409512,0.8176933420506228,0.8609661823781505,0.904197299371319,0.947624061867538
3228,0.7742863996161731,0.8178894430590142,0.8611191360171127,0.9043072486341897,0.9476898617461428
3229,0.7745262652913949,0.818085537215816,0.8612720772797561,0.9044171941243178,0.9477556543759446
3230,0.7747661309666167,0.8182816310483653,0.8614249965247075,0.9045271220908561,0.9478213736607288
3231,0.7750059966418386,0.8184777227107792,0.8615779007021493,0.9046370049620437,0.947887000901837
3232,0.7752458623170604,0.8186738011598381,0.8617308018082124,0.9047468314501456,0.9479526193861544
3233,0.7754857279922822,0.8188698710232455,0.8618836972231103,0.9048566295787386,0.9480182361592479
3234,0.775725593667504,0.8190659392780947,0.8620365708354256,0.9049664196444577,0.9480838482701065
3235,0.7759654593427259,0.8192620034161815,0.8621894174713509,0.9050761876173463,0.9481494268689364
3236,0.7762053250179477,0.8194580609321133,0.8623422345300478,0.9051859278551997,0.9482149937409012
3237,0.7764451906931695,0.8196541044313912,0.8624950515887446,0.9052956453209062,0.9482805555811523
3238,0.7766850563683914,0.8198501382582355,0.86264786522125,0.9054053516452115,0.9483460598689623
3239,0.7769249220436132,0.8200461635560565,0.8628006773681107,0.9055150002236448,0.9484114832973023
3240,0.777164787718835,0.8202421872590435,0.8629534694726211,0.9056245893458482,0.9484769032258589
3241,0.7774046533940568,0.8204382048112001,0.86310625398765,0.9057341371991928,0.9485422842040327
3242,0.7776445190692787,0.8206342223290365,0.8632590216494328,0.9058436434684426,0.948607645066642
3243,0.7778843847445005,0.8208302366633227,0.8634117833582964,0.9059531309510409,0.9486729986687904
3244,0.7781242504197223,0.8210262506939724,0.863564542671889,0.9060626076565993,0.94873832608159
3245,0.7783641160949442,0.8212222594325449,0.8637172565565476,0.9061720694794021,0.9488036370921747
3246,0.778603981770166,0.821418252121404,0.8638699453620714,0.9062815253469768,0.948868938921077
3247,0.7788438474453878,0.8216142397851539,0.8640226337132384,0.9063909025264448,0.9489342407499793
3248,0.7790837131206096,0.8218102220440551,0.8641752911105719,0.9065002683693595,0.9489995263839389
3249,0.7793235787958315,0.8220062016862316,0.8643279469262382,0.9066096093954882,0.9490648097987712
3250,0.7795634444710533,0.822202172528658,0.8644805536817838,0.9067189468771277,0.9491300670249999
3251,0.7798033101462751,0.8223981420095022,0.8646331570076778,0.9068282541735692,0.9491953110151775
3252,0.780043175821497,0.822594100064923,0.8647857555924693,0.9069375612683142,0.9492605138980629
3253,0.7802830414967188,0.8227900454425002,0.864938350926688,0.9070468469712485,0.9493256855758595
3254,0.7805229071719406,0.8229859802731503,0.8650909371469587,0.9071561076727023,0.9493908335966716
3255,0.7807627728471624,0.8231819027143331,0.8652435177124647,0.9072653668146785,0.9494559385012397
3256,0.7810026385223843,0.8233778248392148,0.8653960813317972,0.9073746191484682,0.9495210338957065
3257,0.7812425041976061,0.8235737466817521,0.8655486078888678,0.9074838705300075,0.9495861167707796
3258,0.7814823698728279,0.8237696676508459,0.8657011081486932,0.9075931145304127,0.9496511799085927
3259,0.7817222355480498,0.8239655866285728,0.8658535939415691,0.907702343999407,0.9497162394036717
3260,0.7819621012232716,0.8241615024147766,0.8660060660228851,0.9078115416975573,0.9497812861695544
3261,0.7822019668984934,0.8243573961868973,0.8661585307031383,0.907920724758207,0.9498463083361147
3262,0.7824418325737152,0.8245532898331892,0.8663109942442873,0.9080298736410528,0.9499112942118263
3263,0.7826816982489371,0.8247491491692935,0.8664634570208951,0.9081390024799872,0.949976263217543
3264,0.7829215639241589,0.8249449808887304,0.8666158971641099,0.9082481174133062,0.9500411663269855
3265,0.7831614295993807,0.8251408121414291,0.8667683354062465,0.9083572235662069,0.9501060668714266
3266,0.7834012952746026,0.8253366433941278,0.8669207540581111,0.9084663297083437,0.9501709553107073
3267,0.7836411609498244,0.8255324669151239,0.8670731553509026,0.9085752932265762,0.9502358166235827
3268,0.7838810266250462,0.8257282901518137,0.8672255556392904,0.9086842480101549,0.9503006219411926
3269,0.784120892300268,0.8259241042149958,0.8673779493440117,0.908793201914922,0.9503653982093904
